C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_388.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_388.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_388.jpg, 0, 0, 0, 0.8308258
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_490.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_490.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_490.jpg, 0, 0, 0, 0.8224985
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_593.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_593.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_593.jpg, 0, 0, 0, 0.8142548
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_696.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_696.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_696.jpg, 0, 0, 0, 0.8044713
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_798.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_798.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_798.jpg, 0, 0, 0, 0.7964085
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_898.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_898.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_898.jpg, 0, 0, 0, 0.7884269
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_10_999.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_10_999.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_10_999.jpg, 0, 0.0419628, 0, 0.8126121
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_11_101.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_11_101.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_11_101.jpg, 0, 0.3460545, 0, 1.068884
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_11_206.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_11_206.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_11_206.jpg, -0.2953089, 0.6413634, 0, 1.712965
C:\Users\bahri\Desktop\Data\IMG\center_2020_11_28_13_03_11_308.jpg, C:\Users\bahri\Desktop\Data\IMG\left_2020_11_28_13_03_11_308.jpg, C:\Users\bahri\Desktop\Data\IMG\right_2020_11_28_13_03_11_308.jpg, -0.580101, 0.9261555, 0, 2.71519
